"STATION","NAME","DATE","AWND","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-09","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-10","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-11","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-12","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-13","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-14","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-15","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-16","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-17","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-18","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-19","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-20","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-21","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-22","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-23","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-24","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-25","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-26","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-27","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-28","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-29","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-30","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-31","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-01","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-02","6.93",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-03","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-04","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-05","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-06","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-07","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-08","1.34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-09","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-10","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-11","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-12","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-13","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-14","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-15","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-16","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-17","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-18","1.57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-19","2.24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-20","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-21","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-22","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-23","1.79",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-27","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-28","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-29","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-30","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08-31","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-01","1.79",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-02","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-03","6.71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-04","6.71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-05","7.61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-06","9.62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-07","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-08","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-09","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-10","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-11","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-12","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-13","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-14","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-15","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-16","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-17","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-18","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-19","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-20","2.24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-21","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-22","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-23","1.79",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-24","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-25","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-26","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-27","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-28","8.05",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-29","11.18",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09-30","9.62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-01","7.61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-02","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-03","2.24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-04","7.61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-05","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-06","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-07","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-08","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-09","7.38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-10","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-11","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-12","1.12",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-13","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-14","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-15","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-16","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-17","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-18","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-19","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-20","6.26",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-21","2.24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-22","10.51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-23","8.50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-24","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-25","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-26","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-27","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-28","8.28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-29","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-30","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10-31","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-01","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-02","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-03","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-04","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-05","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-06","7.61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-07","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-08","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-09","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-10","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-11","8.28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-12","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-13","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-14","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-15","5.59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-16","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-17","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-18","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-19","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-20","10.29",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-21","13.20",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-22","9.62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-23","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-24","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-25","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-26","4.47",
